CODIGO,CR,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,PROFESSOR
DSG1846,2,1AB,GEOMETRIA NO DESIGN,,,4,,,17-19,ART 3,Alessandra Carusi
DSG1846,2,1AC,GEOMETRIA NO DESIGN,,,4,,,15-17,ART 3,Alessandra Carusi
DSG1846,2,1AD,GEOMETRIA NO DESIGN,,,,5,,15-17,ART 3,Alessandra Carusi
DSG1851,2,1AA,GEOMETRIA DESCRITIVA,,,,,6,13-15,ART 1,Alessandra Carusi
DSG1851,2,1AC,GEOMETRIA DESCRITIVA,,,,5,,17-19,ART 3,Alessandra Carusi
DSG1853,2,1AD,DESENHO TÉCNICO,,,4,,,13-15,ART 2,Alessandra Carusi 
DSG1105,2,1AA,NOVAS TECNOLOGIAS,,,4,,,11-13,VIRTUAL,Alexandre Cantini
DSG1842,2,1AA,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,11-13,K 015,Alexandre Cantini 
DSG1842,2,1AC,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,15-17,K 015,Alexandre Cantini 
DSG1332,2,1AB,TIPOGRAFIA II ,,,,5,,11-13,ART 1,André Beltrão
DSG1843,2,1AD,LINGUAGEM GRÁFICA ,,,,5,,17-19,L 658,André Beltrão
DSG1031,5,1AA,PROJETO ESPECIFICO CV,,3,,,,07-11,L 658,André Beltrao 
DSG1031,,1AA,PROJETO ESPECIFICO CV,,,,5,,07-13,L 658,André Beltrao 
DSG1861,2,1AD,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17 ,ART 5,André Beltrão 
DSG1634,2,1AA,ECODESIGN,,,,5,,13-15,ART5,Augusto Seibel
DSG1812,2,1AD,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 232,Augusto Seibel
DSG1061,5,1AA,PROJETO ESPECÍFICO PP,,3,,,,07-11,ART1,Augusto Seibel 
DSG1061,,1AA,PROJETO ESPECÍFICO PP,,,,5,,07-13,ART2,Augusto Seibel 
DSG1062,5,1AB,PROJETO FINAL PP,,3,,,,07-11,F 100,Augusto Seibel 
DSG1062,,1AB,PROJETO FINAL PP,,,,,6,07-13,F 100,Augusto Seibel 
DSG1854,2,1AA,LINGUAGEM E ESTRUTURAS,2,,4,,,08-10,L 260,Augusto Seibel 
DSG1815,4,1AA,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 232,Augusto Seibel  
DSG1854,2,1AD,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 232,Augusto Seibel  
DSG1518,4,1AA,TECNOLOGIA TÊXTIL,,,,,6,07-11,ART 1,Barbara Cruz
DSG1811,1,1AE,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,Barbara Cruz 
DSG1811,1,1AF,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,Barbara Cruz 
DSG1854,2,1AB,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 260,Barbara Cruz 
DSG1051,1,1AA,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Barbara Cruz 
DSG1051,,1AA,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Barbara Cruz 
DSG1051,1,1AB,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Barbara Cruz
DSG1051,,1AB,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Barbara Cruz
DSG1951,4,1AA,DESIGN ESPECULATIVO: CENÁRIOS FUTÚROS ,,3,,5,,13-15,L 120/ VIRTUAL,Carlo Franzato 
DSG1803,1,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,2,,,,,13-15,VIRTUAL,Carlos André
DSG1811,2,1AD,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,Carlos André
DSG1844,2,1AC,DESENHO DE OBSERVAÇÃO,,3,,,,15-17,ART 1,Carlos André
DSG1844,2,1AD,DESENHO DE OBSERVAÇÃO,,3,,,,17-19,ART 1,Carlos André
DSG1848,3,1AB,PLÁSTICA,2,,,,,15-18,L 260,Carlos André
ART1050,3,1AA,DESENHO DE OBSERVAÇÃO,,,,,6,11-14,ART 4,Carlos André 
DSG1813,4,1AB,PROJETO: PROJETAR EM PARCERIA,,,4,,,13-19,ART 4,Carlos André 
DSG1848,3,1AD,PLÁSTICA,,,4,,,11-14,K 017,Carlos Eduardo Felix
DSG1932,4,1AA,"PROSPECÇÃO, ESCASSEZ E INCERTEZA",2,,4,,,09-11,L 120,Carlos Eduardo Felix
DSG1846,2,1AA,GEOMETRIA NO DESIGN,,,4,,,15-17,L 658 ,Celso Wilmer
DSG1853,2,1AA,DESENHO TÉCNICO,2,,,,,13-15,L 260 verificar se é quadro de giz,Celso Wilmer 
DSG1424,3,1AA,ANIMAÇÃO ,,,,,6,13-16,LAIA,Claudia Bolshaw
DSG1424,3,1AB,ANIMAÇÃO ,,,4,,,13-16,LAIA,Claudia Bolshaw
DSG1717,2,1AA,TED XIV - DISTRIBUIÇÃO AUDIOVISUAL,2,,,,,09-11,VIRTUAL,Claudia Bolshaw
DSG1855,3,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",,3,,,,10-13,ART 5,Claudia Bolshaw
ART1858,1,1AA,INTRODUÇÃO À PESQUISA,,,,,,SHF,VIRTUAL,Claudia Bolshaw 
ART1858,2,1AA,INTRODUÇÃO À PESQUISA,,,,,,SHF,VIRTUAL,Claudia Bolshaw 
DSG1041,1,1AA,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Claudia Bolshaw 
DSG1041,,1AA,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Claudia Bolshaw 
DSG1041,,1AB,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Claudia Bolshaw 
DSG1041,,1AB,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Claudia Bolshaw 
DSG1042,,1AA,PROJETO FINAL DIG,,3,,,,07-11,L 532,Claudia Bolshaw 
DSG1042,,1AA,PROJETO FINAL DIG,,,,,6,07-13,L 532,Claudia Bolshaw 
DSG1042,1,1AB,PROJETO FINAL DIG,,3,,,,07-11,L 532,Claudia Bolshaw 
DSG1042,,1AB,PROJETO FINAL DIG,,,,,6,07-13,L 532,Claudia Bolshaw 
DSG1811,1,1AA,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,Claudia Bolshaw 
DSG1811,1,1AB,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,Claudia Bolshaw 
DSG1061,5,1AB,PROJETO ESPECÍFICO PP,,3,,,,07-11,ART1,Claudia Kayat 
DSG1061,,1AB,PROJETO ESPECÍFICO PP,,,,5,,07-13,ART2,Claudia Kayat 
DSG1062,2,1AA,PROJETO FINAL PP,,3,,,,07-11,F 100,Claudia Kayat 
DSG1062,,1AA,PROJETO FINAL PP,,,,,6,07-13,F 100,Claudia Kayat 
DSG1062,2,1AB,PROJETO FINAL PP,,3,,,,07-11,F 100,Claudia Kayat 
DSG1062,,1AB,PROJETO FINAL PP,,,,,6,07-13,F 100,Claudia Kayat 
DSG1814,4,1AC,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,ART 2,Claudia Kayat 
DSG1977,2,1AA,DESIGN DE EMBALAGEM ,,3,,,,11-13,K 008,Claudia Kayat 
DSG1852,2,1AB,FUNDAMENTOS EM ERGODESIGN,,,,,6,11-13,VIRTUAL,Claudia Stamato 
DSG1857,2,1AA,ERGODESIGN,,3,,,,09-11,L 120,Claudia Stamato 
DSG1852,2,1AA,FUNDAMENTOS EM ERGODESIGN,,,,,6,11-13,VIRTUAL,Claudia Vianna
DSG1857,2,1AC,ERGODESIGN,,3,,,,11-13,L 232,Claudia Vianna
DSG1516,3,1AA,DESENHO DE MODA aux por comp. - CAD,2,,,,,10-13,LIFE,Claudia Vianna 
DSG1051,1,1AA,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Claudia Vianna 
DSG1051,,1AA,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Claudia Vianna 
DSG1051,1,1AB,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Claudia Vianna 
DSG1051,,1AB,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Claudia Vianna 
DSG1975,2,1AA,LABORATÓRIO EXPLORAÇÃO EXPERIMENTAL PARA INOVAÇÃO,,,4,,,13-15,K 008,Claudio Magalhães 
DSG1811,2,1AB,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,Claudio Werneck
DSG1815,4,1AB,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 232,Claudio Werneck
DSG1303,3,1AA,COR NA COMUNIC VISUAL,,3,,,,15-18 ,K 017,Claudio Werneck 
DSG1804,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,S/sala ,Claudio Werneck 
DSG1812,3,1AC,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 232,Cristina Viana
DSG1336,2,1AA,ENCADERNAÇÃO,2,,,,,11-13,K 017,Cristina Viana 
DSG1322,2,1AB,IMAGEM REPRESENTAÇÃO CV,,,,,6,09-11,VIRTUAL,Cristine Nogueira
DSG1822,2,1AD,HISTORIA DO DESIGN BRASILEIRO,2,,,,,09-11,VIRTUAL,Cristine Nogueira
DSG1823,2,1AA,HISTÓRIA E TEORIA DO DESIGN II,2,,,,,15-17,VIRTUAL,Cristine Nogueira
DSG1814,4,1AD,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,ART 2,Daniel Malaguti
DSG1061,,1AA,PROJETO ESPECÍFICO PP,,,,5,,07-13,ART2,Daniel Malaguti 
DSG1061,2,1AA,PROJETO ESPECÍFICO PP,,3,,,,07-11,ART1,Daniel Malaguti 
DSG1061,2,1AB,PROJETO ESPECÍFICO PP,,3,,,,07-11,ART1,Daniel Malaguti 
DSG1061,,1AB,PROJETO ESPECÍFICO PP,,,,5,,07-13,ART2,Daniel Malaguti 
DSG1062,1,1AA,PROJETO FINAL PP,,3,,,,07-11,F 100,Daniel Malaguti 
DSG1062,,1AA,PROJETO FINAL PP,,,,,6,07-13,F 100,Daniel Malaguti 
DSG1801,2,1AA,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L 532,Daniel Malaguti 
DSG1854,2,1AD,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 232,Daniel Malaguti 
DSG1930,4,1AA,MATERIAIS SUSTENTÁVEIS E PROCESSOS CIRCULARES,,,,,6,09-13,ART 5,Daniel Malaguti 
ART1420,4,1AA,CULTURA MODERNA/CONTEMPORANEA,2,,4,,,09-11,VIRTUAL,Daniela Oliveira
DSG1532,2,1AA,HISTORIA DA MODA CONTEMPORÂNEA I,,,,,6,09-11,VIRTUAL,Daniela Oliveira
DSG1533,2,1AA,HISTORIA DA MODA CONTEMPORÂNEA II,,,,5,,07-09,VIRTUAL,Daniela Oliveira
DSG1635,2,1AA,ILUSTRAÇÃO DE PRODUTO,,,,,6,11-13,L 658,Dedé Rocha
DSG1782,4,1AA,TED LXXXIII - AQUARELAS LÍQUIDAS,2,,,,,13-17,ART 4,Dedé Rocha 
DSG1849,2,1AA,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,L 532,Denise Portinari 
DSG1143,3,1AA,EDIÇÃO POS PROD IMAGENS EM MOV,,,,,6,07-10,K 015,Eliane Garcia
DSG1041,1,1AA,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Eliane Garcia 
DSG1041,,1AA,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Eliane Garcia 
DSG1041,1,1AB,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Eliane Garcia 
DSG1041,,1AB,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Eliane Garcia 
DSG1042,1,1AA,PROJETO FINAL DIG,,3,,,,07-11,L 532,Eliane Garcia 
DSG1042,,1AA,PROJETO FINAL DIG,,,,,6,07-13,L 532,Eliane Garcia 
DSG1779,3,1AA,ESTUDO DIRIGIDO,,,,,,SHF,VIRTUAL,Eliane Garcia 
DSG1842,2,1AD,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,11-13,T 01,Eliane Garcia 
DSG1032,,1AC,PROJETO FINAL CV,,,,,6,07-13,L 260,Evelyn Grumach
DSG1704,2,1AA,IDENTIDADE VISUAL PARA EVENTO,,,,,6,09-11,K 017,Evelyn Grumach
DSG1841,4,1AA,LINGUAGEM E COMUNICAÇÃO NO DESIGN,2,,4,,,15-17,L 422,Evelyn Grumach
DSG1856,2,1AA,BIONICA,,,,5,,08-10,L 260,Evelyn Grumach
DSG1031,5,1AB,PROJETO ESPECIFICO CV,,3,,,,07-11,L 658,Evelyn Grumach 
DSG1031,,1AB,PROJETO ESPECIFICO CV,,,,5,,07-13,L 658,Evelyn Grumach 
DSG1032,3,1AC,PROJETO FINAL CV,,3,,,,07-11,L 260,Evelyn Grumach 
DSG1332,2,1AA,TIPOGRAFIA II ,,,,5,,09-11,L 532,Fábio Lopez
DSG1854,2,1AC,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 232,Fábio Lopez
DSG1032,5,1AC,PROJETO FINAL CV,,3,,,,07-11,L 260,Fábio Lopez 
DSG1032,,1AC,PROJETO FINAL CV,,,,,6,07-13,L 260,Fábio Lopez 
DSG1854,2,1AB,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 260,Fábio Lopez 
DSG1814,4,1AB,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,ART 1,Felipe Rangel
DSG1061,2,1AA,PROJETO ESPECÍFICO PP,,3,,,,07-11,ART1,Felipe Rangel 
DSG1061,,1AA,PROJETO ESPECÍFICO PP,,,,5,,07-13,ART2,Felipe Rangel 
DSG1061,2,1AB,PROJETO ESPECÍFICO PP,,3,,,,07-11,ART1,Felipe Rangel 
DSG1061,,1AB,PROJETO ESPECÍFICO PP,,,,5,,07-13,ART2,Felipe Rangel 
DSG1062,4,1AA,PROJETO FINAL PP,,3,,,,07-11,F 100,Felipe Rangel 
DSG1062,,1AA,PROJETO FINAL PP,,,,,6,07-13,F 100,Felipe Rangel 
DSG1302,2,1AA,TENDÊNCIAS EM COMUNICAÇÃO VISUAL,,,,5,,09-11,VIRTUAL,Flavia Nizia
DSG1821,2,1AD,HISTORIA E TEORIA DO DESIGN I,,3,,,,15-17,L 328,Flavia Nizia
DSG1822,2,1AC,HISTORIA DO DESIGN BRASILEIRO,,,,,6,15-17,VIRTUAL,Flavia Nizia
DSG1801,2,1AC,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L 658,Flavia Nizia 
DSG1811,2,1AE,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,Flavia Nizia 
DSG1105,2,1AC,NOVAS TECNOLOGIAS,,,,5,,09-11,VIRTUAL,Flavio Carvalho
DSG1602,2,1AA,TENDÊNCIAS EM DESIGN DE PRODUTO,,,,5,,11-13,VIRTUAL,Flavio Carvalho
DSG1842,2,1AA,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,11-13,K 015,Flavio Carvalho 
DSG1842,2,1AC,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,15-17,K 015,Flavio Carvalho 
DSG1862,2,1AD,PRÁTICAS EXPERIMENTAIS II,,3,,,,11-13,K 015,Flavio Carvalho 
DSG1842,2,1AB,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,13-15,K 015,Flavio Carvalho                                       
DSG1812,2,1AD,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 232,Gabriela Gusmão
DSG1816,4,1AD,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA ,2,,4,,,10-13,L 658,Gabriela Gusmão
DSG1848,3,1AA,PLÁSTICA,2,,,,,15-18,L 232,Gabriela Gusmão
DSG1031,2,1AA,PROJETO ESPECIFICO CV,,3,,,,07-11,L 658,Gabriela Gusmão 
DSG1031,,1AA,PROJETO ESPECIFICO CV,,,,5,,07-13,L 658,Gabriela Gusmão 
DSG1613,2,1AA,REPRESENTAÇÃO EM VOLUME III,2,,,,,11-13,K 008 ,Gabriella Vaccari
DSG1637,3,1AA,LABORATORIO DA FORMA I,,3,,,,08-11,K 008,Gabriella Vaccari
DSG1987,2,1AA,PROTOTIPAGEM - DESIGN DE SERVIÇO,,,,,6,13-15,K 008,Gabriella Vaccari
DSG1062,3,1AA,PROJETO FINAL PP,,3,,,,07-11,F 100,Gabriella Vaccari 
DSG1062,,1AA,PROJETO FINAL PP,,,,,6,07-13,F 100,Gabriella Vaccari 
DSG1062,2,1AB,PROJETO FINAL PP,,3,,,,07-11,F 100,Gabriella Vaccari 
DSG1062,,1AB,PROJETO FINAL PP,,,,,6,07-13,F 100,Gabriella Vaccari 
DSG1612,3,1AA,REPRESENTAÇÃO EM VOLUME II,2,,,,,13-16,K 008 ,Gabriella Vaccari 
DSG1861,2,1AA,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17 ,ART 4,Gabriella Vaccari 
DSG1013,2,1AA,"DEXPO – Design, Extensão e Política",,3,,,,13-16,Depto,Gamba Junior 
DSG1312,3,1AA,SISTEMAS DE PROD. GRAFICA,,,,5,,08-11 ,K 017,Gilberto Mendes
DSG1812,3,1AE,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 422,Gilberto Mendes
DSG1815,4,1AC,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 260,Gilberto Mendes
DSG1901,2,1AA,ESTÁGIO ,,,,,6,07-09,L 422,Gilberto Mendes
DSG1804,2,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,IAG 3,Gilberto Mendes 
DSG1861,2,1AC,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17 ,ART 5,Gilberto Mendes 
DSG1061,1,1AB,PROJETO ESPECÍFICO PP,,3,,,,07-11,ART1,Guilherme Lorenzoni 
DSG1061,,1AB,PROJETO ESPECÍFICO PP,,,,5,,07-13,ART2,Guilherme Lorenzoni 
DSG1061,1,1AA,PROJETO ESPECÍFICO PP,,3,,,,07-11,ART1,Guilherme Lorenzoni 
DSG1061,,1AA,PROJETO ESPECÍFICO PP,,,,5,,07-13,ART2,Guilherme Lorenzoni 
DSG1945,2,1AA,PROCESSOS DE MANUFATURA,,,,,6,07-09,K 008,Guilherme Lorenzoni 
DSG1814,4,1AA,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,ART 1,Guilherme Toledo
DSG1931,4,1AA,EMPREENDEDORISMO EM DESIGN,2,,,,,13-17,ART 3,Guilherme Toledo
DSG1862,2,1AB,PRÁTICAS EXPERIMENTAIS II,,,,5,,11-13,LIFE,Guilherme Xavier
DSG1041,1,1AA,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Guilherme Xavier 
DSG1041,,1AA,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Guilherme Xavier 
DSG1041,1,1AB,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Guilherme Xavier 
DSG1041,,1AB,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Guilherme Xavier 
DSG1042,1,1AA,PROJETO FINAL DIG,,3,,,,07-11,L 532,Guilherme Xavier 
DSG1042,,1AA,PROJETO FINAL DIG,,,,,6,07-13,L 532,Guilherme Xavier 
DSG1042,1,1AB,PROJETO FINAL DIG,,3,,,,07-11,L 532,Guilherme Xavier 
DSG1042,,1AB,PROJETO FINAL DIG,,,,,6,07-13,L 532,Guilherme Xavier 
DSG1433,3,1AA,DESIGN DE JOGOS ,,3,,,,13-16,K 015,Guilherme Xavier 
DSG1861,2,1AB,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17 ,ART 4,Guilherme Xavier 
DSG1990,2,1AA,JOGOS DIGITAIS,,,,5,,09-11,LIFE,Guilherme Xavier 
DSG1847,4,1AC,DESENHO DE CONCEPÇÃO,2,,4,,,13-15,ART 2,Guto Lins
DSG1337,4,1AA,BRANDING - CONSTRUÇÃO DA MARCA  ,,,4,,6,11-13 ,ART 5/ ART 1,Guto Lins 
DSG1843,2,1AA,LINGUAGEM GRÁFICA ,,,,5,,17-19,L 532,Guto Lins 
DSG1144,3,1AA,MODELAGEM VIRTUAL,,3,,,,13-16,T 01,Helena Cavalcanti
DSG1866,2,1AA,PRÁTICAS EXPERIMENTAIS VI,,,,5,,07-09,K 015,Helena Cavalcanti
DSG1826,2,1AA,QUESTÕES EM ÊNFASE,2,,,,,08-10,L 658,Horista a contratar
DSG1826,2,1AB,QUESTÕES EM ÊNFASE,2,,,,,08-10,ART 1,Horista a contratar
DSG1826,2,1AC,QUESTÕES EM ÊNFASE,2,,,,,08-10,ART 2,Horista a contratar
DSG1843,2,1AB,LINGUAGEM GRÁFICA ,,,,5,,17-19,L 232,Horista a contratar
DSG1900,4,1AA,PROJETO INTERDISCIPLINAR DE ÊNFASE,2,,,,,07-11,L 422,Horista a contratar
DSG1900,4,1AB,PROJETO INTERDISCIPLINAR DE ÊNFASE,2,,,,,07-11,L 422,Horista a contratar
DSG1910,3,1AA,ANTEPROJETO FINAL COMUN/ARTE,,,4,,,08-11,VIRTUAL,Horista a contratar
DSG1911,3,1AA,ANTEPROJETO FINAL CORPO E MODA,,,4,,,08-11,VIRTUAL,Horista a contratar
DSG1912,3,1AA,ANTEPROJETO FINAL ESTRA-GESTAO,,,4,,,08-11,VIRTUAL,Horista a contratar
DSG1913,3,1AA,ANTEPROJETO FINAL EXP/DIGITAL,,,4,,,08-11,VIRTUAL,Horista a contratar
DSG1914,3,1AA,ANTEPROJETO FINAL PROD INOVACA,,,4,,,08-11,VIRTUAL,Horista a contratar
DSG1915,3,1AA,ANTEPROJETO FINAL SUSTENTABILI,,,4,,,08-11,VIRTUAL,Horista a contratar
DSG1984,2,1AA,MODA CORPOREIDADE TRANSGREÇÃO ,2,,,,,13-15,LAB MOD ,Horista a contratar
DSG1051,2,1AA,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Horista a contratar 
DSG1051,,1AA,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Horista a contratar 
DSG1051,3,1AB,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Horista a contratar 
DSG1051,,1AB,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Horista a contratar 
DSG1551,4,1AA,DESIGN DE ADORNOS PESSOAIS,,3,,5,,11-13/ 11-13,VIRTUAL/L 422,Irina Aragão
DSG1553,2,1AA,HISTÓRIA DO ADORNO PESSOAL II,,,4,,,11-13,VIRTUAL,Irina Aragão
DSG1821,2,1AA,HISTORIA E TEORIA DO DESIGN I,,3,,,,15-17,ART 2,Irina Aragão
DSG1822,2,1AB,HISTORIA DO DESIGN BRASILEIRO,,,,,6,11-13,VIRTUAL,Irina Aragão
DSG1824,2,1AB,TEORIA DO OBJETO,,,,,6,09-11,VIRTUAL,Irina Aragão
DSG1824,2,1AC,TEORIA DO OBJETO,,,,,6,13-15,VIRTUAL,Irina Aragão
DSG1051,5,1AA,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Isabel Martins
DSG1812,3,1AA,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 260,Isabel Martins
DSG1921,4,1AA,PROJ FINAL CORPO E MODA,,,4,,,09-13,S/sala,Isabel Martins
