CODIGO,CR,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,PROFESSOR
DSG1921,4,1AA,PROJ FINAL CORPO E MODA,,,,,6,07-11,LAB MOD,Isabel Martins
DSG1947,3,1AA,CONSTRUÇÕES TEXTEIS E O CORPO CULTURAL,,3,,5,,11-13,K017,Isabel Martins
DSG1051,,1AA,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Isabel Martins 
DSG1052,4,1AB,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6ª),Isabel Martins 
DSG1403,2,1AA,ERGONOMIA E INT HUMANO-COMPUTADOR,,,,5,,11-13,VIRTUAL,Isabela Mota 
DSG1852,2,1AC,FUNDAMENTOS EM ERGODESIGN,,,,,6,09-11,VIRTUAL,Isabela Mota 
DSG1857,2,1AB,ERGODESIGN,,3,,,,07-09,ART 3,Isabela Mota 
DSG1030,2,1AB,ANTEPROJETO ESPECÍFICO CV,,3,,,,11-13,VIRTUAL,Izabel Oliveira 
DSG1032,3,1AB,PROJETO FINAL CV,,3,,,,07-11,L 232,Izabel Oliveira 
DSG1032,,1AB,PROJETO FINAL CV,,,,,6,07-13,L 232,Izabel Oliveira 
DSG1322,2,1AA,IMAGEM REPRESENTAÇÃO CV,2,,,,,11-13,VIRTUAL,Izabel Oliveira 
DSG1802,1,1AA,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,,,,5,,13-15,ART 1,Izabel Oliveira 
DSG1804,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,ART3,Izabel Oliveira 
DSG1845,3,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,ART 1,Izabel Oliveira 
DSG1902,2,1AA,DOCUMENTAÇÃO DE PROJETO PARA TCC EM DESIGN,,,,5,,09-11,VIRTUAL,Izabel Oliveira  
DSG1700,2,1AA,ESTUDO DIRIGIDO,,,,,,SHF,,Jackeline Farbiarz
DSG1862,2,1AA,PRÁTICAS EXPERIMENTAIS II,,3,,,,11-13,LIFE,João Bonelli
DSG1863,4,1AA,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,LIFE ,João Bonelli
DSG1041,5,1AA,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,João Bonelli 
DSG1041,,1AA,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,João Bonelli 
DSG1042,1,1AA,PROJETO FINAL DIG,,3,,,,07-11,L 532,João Bonelli 
DSG1042,,1AA,PROJETO FINAL DIG,,,,,6,07-13,L 532,João Bonelli 
DSG1042,1,1AB,PROJETO FINAL DIG,,3,,,,07-11,L 532,João Bonelli 
DSG1042,,1AB,PROJETO FINAL DIG,,,,,6,07-13,L 532,João Bonelli 
DSG1413,4,1AB,DESIGN DE OBJETOS INTELIGENTES,2,,,,,13-16/1SHF,LIFE,João Bonelli 
DSG1802,1,1AB,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 2,João Bonelli 
DSG1923,8,1AA,PROJ FINAL  EXP/DIGITAL,,,4,,6,09-13,S/sala/LIFE,João Bonelli 
DSG1605,3,1AA,BIÔNICA ,,3,,,,11-14,ART 2,João Victor
DSG1856,2,1AB,BIONICA,,3,,,,08-10,ART 5,João Victor
DSG1974,2,1AA,BIOMIMÉTICA ,,,,5,,11-13,ART 5,João Victor
DSG1824,2,1AA,TEORIA DO OBJETO,,,,,6,09-11,VIRTUAL,João Victor 
DSG1102,2,1AA,HISTORIA DO DESIGN II,,3,,,,11-13,VIRTUAL,Joaquim Redig
DSG1822,2,1AA,HISTORIA DO DESIGN BRASILEIRO,,,,,6,13-15,VIRTUAL,Joaquim Redig
ART1056,2,1AA,HISTÓRIA DA ARTE II,2,,,,,15-17,VIRTUAL,Jorge Langone
ART1420,4,1AB,CULTURA MODERNA/CONTEMPORANEA,2,,4,,,13-15,VIRTUAL,Jorge Langone
DSG1816,4,1AB,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA ,2,,4,,,10-13,L 532,Jorge Langone
DSG1823,2,1AC,HISTÓRIA E TEORIA DO DESIGN II,2,,,,,17-19,VIRTUAL,Jorge Langone
DSG1825,2,1AA,HISTÓRIA DA ARTE,,,,,6,11-13,VIRTUAL,Jorge Langone
DSG1806,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA ,,,4,,,08-10,L 532,Jorge Langone 
DSG1966,3,1AA,REALIDADES DIGITAIS,,3,,,,13-16,LIFE,Jorge Lopes
DSG1062,1,1AB,PROJETO FINAL PP,,3,,,,07-11,F 100,Jorge Lopes 
DSG1062,,1AB,PROJETO FINAL PP,,,,,6,07-13,F 100,Jorge Lopes 
DSG1862,2,1AC,PRÁTICAS EXPERIMENTAIS II,,,,5,,11-13,K 015,Joy Till
DSG1041,1,1AA,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Joy Till 
DSG1041,1,1AB,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Joy Till 
DSG1041,,1AB,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Joy Till 
DSG1042,1,1AA,PROJETO FINAL DIG,,3,,,,07-11,L 532,Joy Till 
DSG1042,,1AA,PROJETO FINAL DIG,,,,,6,07-13,L 532,Joy Till 
DSG1042,1,1AB,PROJETO FINAL DIG,,3,,,,07-11,L 532,Joy Till 
DSG1042,,1AB,PROJETO FINAL DIG,,,,,6,07-13,L 532,Joy Till 
DSG1032,,1AA,PROJETO FINAL CV,,,,,6,07-13,L 232,Julieta Sobral
DSG1812,2,1AF,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 422,Julieta Sobral
DSG1958,4,1AA,MULTIMODALIDADE E MULTISENSORIALIDADE NAS ARTES E DESIGN,,3,,5,,11-13,ART 1/ ART 3,Julieta Sobral
DSG1031,3,1AA,PROJETO ESPECIFICO CV,,3,,,,07-11,L 658,Julieta Sobral 
DSG1031,,1AA,PROJETO ESPECIFICO CV,,,,5,,07-13,L 658,Julieta Sobral 
DSG1032,3,1AA,PROJETO FINAL CV,,3,,,,07-11,L 232,Julieta Sobral 
DSG1311,4,1AA,GRAFICA,2,,4,,,09-11,K 017,Julieta Sobral 
DSG1841,4,1AB,LINGUAGEM E COMUNICAÇÃO NO DESIGN,2,,4,,,13-15,F 100,Julieta Sobral 
DSG1105,2,1AB,NOVAS TECNOLOGIAS,,,4,,,09-11,VIRTUAL,Leonardo Cardarelli
DSG1414,3,1AA,HISTÓRIAS DAS MÍDIAS DIGITAIS INTERATIVAS ,,,4,,,13-16,VIRTUAL,Leonardo Cardarelli
DSG1422,3,1AA,COMPUTAÇÃO PARA ANIMAÇÃO,,,,5,,09-12,F 100,Leonardo Cardarelli
DSG1432,3,1AA,COMP. GRAF. E TEC. JOGOS ELET,,,,,6,13-16,T 01,Leonardo Cardarelli
DSG1901,2,1AC,ESTÁGIO ,2,,,,,11-13,L 664,Leonardo Cardarelli
DSG1988,2,1AA,PROTOTIPAGEM E SIMULAÇÃO DIGITAL,,,,5,,13-15,LIFE,Leonardo Cardarelli 
DSG1978 ,2,1AA,MOBILIARIO,,,,5,,11-13,K008,Leonardo Lattavo 
DSG1851,2,1AB,GEOMETRIA DESCRITIVA,,3,,,,17-19,L 422,Leonidas Moraes
DSG1851,2,1AD,GEOMETRIA DESCRITIVA,,,,5,,17-19,ART 4,Leonidas Moraes
DSG1853,2,1AB,DESENHO TÉCNICO,2,,,,,13-15,L 422,Leonidas Moraes
DSG1813,1,1AB,PROJETO: PROJETAR EM PARCERIA,,,4,,,13-19,ART 4,Luciana Barbosa
DSG1813,1,1AC,PROJETO: PROJETAR EM PARCERIA ,,,4,,,13-19,ART 5,Luciana Barbosa
DSG1813,1,1AD,PROJETO: PROJETAR EM PARCERIA ,,,4,,,13-19,ART 5,Luciana Barbosa
DSG1865,4,1AA,PRÁTICAS EXPERIMENTAIS V,,3,,5,,13-15,LAB MOD,Luciana Barbosa
DSG1052,2,1AA,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 ,Luciana Barbosa 
DSG1052,2,1AB,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6ª),Luciana Barbosa 
DSG1813,1,1AA,PROJETO: PROJETAR EM PARCERIA,,,4,,,13-19,ART 4,Luciana Barbosa 
DSG1844,2,1AB,DESENHO DE OBSERVAÇÃO,,3,,,,15-17,ART 5,Luciana Barbosa 
ART1053,2,1AA,DESENHO DE MODELO VIVO,2,,,,,11-13,L 422,Luciana Grether
DSG1721,2,1AA,TED XXII CULTURA BRASILEIRA DA LIT INFANTO JUVENIL ,,,4,,,11-13,L 422,Luciana Grether
DSG1813,4,1AD,PROJETO: PROJETAR EM PARCERIA ,,,4,,,13-19,ART 5,Luciana Grether
DSG1803,1,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA ,2,,,,,13-15,VIRTUAL,Luciana Grether 
DSG1811,2,1AF,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,Luis Vicente
DSG1813,4,1AC,PROJETO: PROJETAR EM PARCERIA ,,,4,,,13-19,ART 5,Luis Vicente
DSG1803,1,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA ,2,,,,,13-15,VIRTUAL,Luis Vicente 
DSG1972,2,1AA,LABORATÓRIO DO LÚDICO NOS PROCESSOS COMUNICACIONAIS,2,,,,,11-13,ART 4,Luis Vicente 
DSG1816,4,1AC,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA ,2,,4,,,10-13,L 658,Luiz Ludwig
DSG1863,4,1AB,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,K 015,Luiz Ludwig
DSG1032,5,1AB,PROJETO FINAL CV,,3,,,,07-11,L 232,Luiz Ludwig 
DSG1032,,1AB,PROJETO FINAL CV,,,,,6,07-13,L 232,Luiz Ludwig 
DSG1412,4,1AA,INTERFACES FÍSICAS E LÓGICAS,,,4,,6,13-15,LIFE,Luiz Ludwig 
DSG1953,2,1AA,CONECTIVIDADE E INTERATIVIDADE NAS ARTES E NO DESIGN,2,,,,,13-15,IAG 3,Luiz Ludwig 
ART1056,2,1AB,HISTÓRIA DA ARTE II,,,,5,,07-09,VIRTUAL,Luiza Interlenghi
DSG1825,2,1AB,HISTÓRIA DA ARTE,,,,,6,11-13,VIRTUAL,Luiza Interlenghi
DSG1816,4,1AA,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA ,2,,4,,,10-13,L 532,Luiza Marcier
DSG1849,2,1AC,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,L 658,Luiza Marcier
DSG1863,4,1AC,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,LAIA,Luiza Marcier
DSG1052,2,1AA,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 ,Luiza Marcier 
DSG1811,2,1AA,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,Luiza Marcier 
DSG1821,2,1AB,HISTÓRIA E TEORIA DO DESIGN I,,3,,,,11-13,L 260,Luiza Marcier 
DSG1821,2,1AC,HISTORIA E TEORIA DO DESIGN I,,3,,,,17-19,ART 2,Luiza Marcier 
DSG1802,1,1AC,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 3,Lula Rocha
DSG1842,2,1AD,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,11-13,T 01,Lula Rocha
DSG1802,1,1AA,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,,,,5,,13-15,ART 1,Lula Rocha 
DSG1802,1,1AB,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 2,Lula Rocha 
DSG1999,3,1AA,CRIAÇÃO E TRAT. DA IMAGEM,,,,5,,15-18,K 015 ,Lula Rocha 
DSG1999,3,1AB,CRIAÇÃO E TRAT. DA IMAGEM (em inglês),,,,,6,11-14,K 015 ,Lula Rocha 
DSG1842,2,1AB,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,13-15,K 015,Lula Rocha                                      
DSG1041,5,1AB,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Mª das Graças 
DSG1041,,1AB,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Mª das Graças 
DSG1042,5,1AB,PROJETO FINAL DIG,,3,,,,07-11,L 532,Mª das Graças 
DSG1042,,1AB,PROJETO FINAL DIG,,,,,6,07-13,L 532,Mª das Graças 
DSG1956,2,1AA,UX/INTERACAO HUMANO-TECNOLOGIA,,3,,,,09-11,VIRTUAL,Manuela Quaresma 
DSG1812,2,1AF,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 422,Marcelo Pereira
DSG1041,1,1AA,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Marcelo Pereira 
DSG1041,,1AA,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Marcelo Pereira 
DSG1041,1,1AB,PROJETO ESPECIFICO DIG,,3,,,,07-13,L 422,Marcelo Pereira 
DSG1041,,1AB,PROJETO ESPECIFICO DIG,,,,5,,07-11,L 422,Marcelo Pereira 
DSG1042,5,1AA,PROJETO FINAL DIG,,3,,,,07-11,L 532,Marcelo Pereira 
DSG1042,,1AA,PROJETO FINAL DIG,,,,,6,07-13,L 532,Marcelo Pereira 
DSG1441,4,1AA,HIPERMÍDIA,,3,,5,,11-13,ART 3/VIRTUAL,Marcelo Pereira 
DSG1801,1,1AD,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,ART 3,Marcelo Pereira 
DSG1957,2,1AA,DESIGN E INTELIGENCIA ARTIFICIAL,,,,5,,09-11,ART 3,Marcelo Pereira 
DSG1623,4,1AA,MATERIAIS E PROCES. DE PROD II,,,,,6,07-11,ART 3,Marco Antônio 
DSG1853,2,1AC,DESENHO TÉCNICO,,,4,,,13-15,ART 3,Marco Antônio 
DSG1421,3,1AA,PRINCIPIOS DE ANIMAÇÃO,,3,,,,13-16,LAIA,Marcos Amarante
DSG1423,2,1AA,HISTÓRIA  DA ANIMAÇÃO,,,4,,,17-19,VIRTUAL,Marcos Amarante
DSG1423,2,1AB,HISTÓRIA  DA ANIMAÇÃO,,,4,,,13-15,VIRTUAL,Marcos Amarante
DSG1535,2,1AA,DESENHO DE MODA,,,,5,,07-09,F 100,Maria Eloisa
DSG1949,2,1AA,OBJETO ROUPA,,,,5,,11-13,LAB MOD,Maria Eloisa
DSG1867,2,1AA,PRÁTICAS EXPERIMENTAIS VII,,,,5,,09-11,LAB MOD,Maria Eloisa
DSG1051,3,1AA,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Maria Eloisa 
DSG1051,,1AA,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Maria Eloisa 
DSG1051,2,1AB,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Maria Eloisa 
DSG1051,,1AB,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Maria Eloisa 
DSG1845,3,1AC,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,ART 2,Maria Julia
DSG1030,2,1AA,ANTEPROJETO ESPECÍFICO CV,,3,,,,11-13,VIRTUAL,Maria Julia 
DSG1804,2,1AD,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,S/sala,Maria Julia 
DSG1850,2,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,13-15,ART 3,Maria Julia 
DSG1811,2,1AC,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,Mario Seixas
DSG1864,4,1AA,PRÁTICAS EXPERIMENTAIS IV,,3,,5,,13-15,K 008,Mario Seixas
ART1114,4,1AA,TECNICAS DE ILUSTRAÇÃO,,,,,6,11-15,K 017,Mateu Velasco
DSG1847,4,1AA,DESENHO DE CONCEPÇÃO,2,,4,,,13-15,L 658,Mateu Velasco
DSG1848,3,1AC,PLÁSTICA,2,,,,,15-18,ART 5,Mateu Velasco
DSG1812,2,1AB,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 260,Mateu Velasco 
ART1839,4,1AA,TEA X - DESIGN DE HISTÓRIAS: TEORIA E TECNICA DE NARRATIVAS ,,3,,5,,13-15,VIRTUAL,Miguel Carvalho
DSG1814,4,1AE,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,ART 3,Monica Saddi
DSG1901,2,1AB,ESTÁGIO ,,,,,6,09-11,IAG 3,Monica Saddi
ART1116,3,1AA,LINGUAGEM DA  ILUSTRAÇÃO,,,,,6,07-10,ART 4,Nathalia Cavalcante
DSG1847,4,1AB,DESENHO DE CONCEPÇÃO,2,,4,,,13-15,ART 1,Nathalia Cavalcante
DSG1305,3,1AA,BIÔNICA PARA COMUNICAÇÃO VISUAL, ,,4,,,10-13,ART 4,Nathalia Cavalcante
DSG1844,2,1AA,DESENHO DE OBSERVAÇÃO,,3,,,,17-19,L260,Nathalia Cavalcante
DSG1849,2,1AB,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,ART 4,Nathalia Cavalcante
DSG1811,1,1AD,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,Nathalia Cavalcante
DSG1811,1,1AC,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,Nathalia Cavalvante
DSG1502,2,1AA,TENDÊNCIAS EM DESIGN DE MODA,,3,,,,11-13,VIRTUAL,Priscila Andrade
DSG1850,2,1AC,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,13-15,ART 2 ,Priscila Andrade
DSG1051,5,1AB,PROJETO ESPECIFICO MOD,,3,,,,07-13,LAB MOD,Priscila Andrade 
DSG1051,,1AB,PROJETO ESPECIFICO MOD,,,,5,,07-11,ART 1,Priscila Andrade 
DSG1517,3,1AA,DESIGN DE ESTAMPARIA ,,,,5,,13-16,K 017,Priscila Andrade 
DSG1806,2,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA ,,,4,,,08-10,L 658,Priscila Andrade 
DSG1843,2,1AC,LINGUAGEM GRÁFICA ,,,,5,,17-19,L 260,Priscila Andrade 
DSG1948,2,1AA,CARTOGRAFIAS ,,3,,,,13-15,K017,Priscila Andrade 
DSG1802,1,1AC,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 3,Renata Mattos
DSG1813,4,1AA,PROJETO: PROJETAR EM PARCERIA,,,4,,,13-19,ART 4,Renata Mattos 
DSG1442,3,1AA,NARRATIVA EM MULTIMIDIA ,2,,,,,11-14,VIRTUAL,Rian Rezende
DSG1718,2,1AA,NARRATIVAS AUDIOVISUAIS,,,,5,,08-10,VIRTUAL,Rian Rezende
DSG1812,2,1AB,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 260,Rian Rezende
DSG1855,3,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",,3,,,,10-13,ART 4,Rian Rezende
DSG1952,4,1AA,DESIGN E NARRATIVA ,,,,,6,07-11,L658,Rian Rezende 
DSG1854,2,1AA,LINGUAGEM E ESTRUTURAS,2,,4,,,08-10,L 260,Rian Rezende  
DSG1854,2,1AC,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 232,Rian Rezende  
DSG1145,3,1AA,MODELAGEM VIRTUAL II,2,,,,,07-10,T 01,Ricardo Fontes
DSG1032,5,1AA,PROJETO FINAL CV,,3,,,,07-11,L 232,Roberta Portas 
DSG1032,,1AA,PROJETO FINAL CV,,,,,6,07-13,L 232,Roberta Portas 
DSG1806,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA ,,,4,,,08-10,L 422,Roberta Portas 
DSG1753,3,1AA,TED LIV - DIAGRAMAÇÃO E EDITORAÇÃO ELETRÔNICA ,,3,,,,10-13,VIRTUAL,Romulo Matteoni
DSG1841,4,1AC,LINGUAGEM E COMUNICAÇÃO NO DESIGN,2,,4,,,13-15,L 232,Romulo Matteoni
DSG1845,3,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,L 422,Romulo Matteoni
DSG1805,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,Romulo Matteoni 
DSG1814,4,1AF,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,ART 3,Romulo Matteoni 
DSG1143,3,1AB,EDIÇÃO POS PROD IMAGENS EM MOV,,3,,,,07-10,K 015,Sanseverino
DSG1758,3,1AA,CRIAÇÃO E PRODUÇÃO DE IMAGEM EM MOVIMENTO,,,,5,,08-11,L 232,Sanseverino
DSG1104,2,1AA,HISTÓRIA DOS ESTILOS ,,,,5,,13-15,VIRTUAL,Silvia Helena 
DSG1537,2,1AA ,FIGURINO,,,,,6,11-13,ART 2,Silvia Helena 
DSG1538,2,1AA,HISTÓRIA DA MODA BRASILEIRA ,,,,,6,09-11,VIRTUAL,Silvia Helena 
DSG1823,2,1AB,HISTÓRIA E TEORIA DO DESIGN II,2,,,,,17-19,VIRTUAL,Silvia Helena 
DSG1832,2,1AA,HISTÓRIA DA INDUMENTÁRIA,,3,,,,09-11,VIRTUAL,Silvia Helena 
DSG1335,4,1AA,LINGUAGEM EM COMUNICAÇÃO VISUAL II,,3,,5,,13-15,ART 4,Simone Formiga
DSG1323,4,1AA,TEORIAS E ENFOQUES CRÍTICOS NA CV,,,4,,6,11-13,VIRTUAL/ART 3,Simone Formiga 
DSG1850,2,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,17-19,L 260,Simone Formiga 
DSG1841,4,1AD,LINGUAGEM E COMUNICAÇÃO NO DESIGN,2,,4,,,13-15,L 532,Suzana Valladares
DSG1030,2,1AC,ANTEPROJETO ESPECÍFICO CV,,3,,,,11-13,VIRTUAL,Suzana Valladares 
DSG1031,5,1AB,PROJETO ESPECIFICO CV,,3,,,,07-11,L 658,Suzana Valladares 
DSG1031,,1AB,PROJETO ESPECIFICO CV,,,,5,,07-13,L 658,Suzana Valladares 
DSG1801,2,1AB,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,ART 1,Tatiana Carvalho 
DSG1032,1,1AA,PROJETO FINAL CV,,3,,,,07-11,L 232,Vera Damazio 
DSG1032,,1AA,PROJETO FINAL CV,,,,,6,07-13,L 232,Vera Damazio 
DSG1032,1,1AC,PROJETO FINAL CV,,3,,,,07-11,L 260,Vera Damazio 
DSG1032,,1AC,PROJETO FINAL CV,,,,,6,07-13,L 260,Vera Damazio 
DSG1632,2,1AA,SEMÂNTICA DO PRODUTO,2,,,,,09-11,VIRTUAL,Vera Nojima 
DSG1805,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,Vera Nojima 
DSG1052,3,1AA,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 ,Walvyker Souza
DSG1515,2,1AA,TEC. DE COSTURA,,,4,,,09-11,LAB MOD,Walvyker Souza
DSG1519,2,1AA,ALFAIATARIA,,,,,6,13-15,LAB MOD,Walvyker Souza
DSG1986,4,1AA,CONSTRUÇÃO DO VESTUÁRIO AVANÇADA,,,4,,6,11-13,LAB MOD ,Walvyker Souza
DSG1052,2,1AB,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6ª),Walvyker Souza 
DSG1415,3,1AA,SONORIZAÇÃO E ÁUDIO DIGITAIS,,,4,,,07-10,F 100,Werther Azevedo
,,,,,,,,,,,
,,,,,,,,,,,
presencial,,,,,,,,,,,
hibrido,,,,,,,,,,,
remoto,,,,,,,,,,,