Dom. Ad.,EQUIV.,SUPERVISÃO,CODIGO,CR.,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO
,,Bebel,DSG1845,3,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,L 422,28 ART,Romulo Matteoni,2º
,,Bebel,DSG1845,3,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,ART 1,28 ART,Izabel Oliveira ,2º
,,Bebel,DSG1845,3,1AC,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,ART 2,28 ART,Maria Julia,2º
,,Bebel,DSG1846,2,1AA,GEOMETRIA NO DESIGN,,,4,,,15-17,L 658 verificar se é quadro de giz,21 ART,Celso Wilmer,2º
,,Bebel,DSG1846,2,1AB,GEOMETRIA NO DESIGN,,,4,,,17-19,ART 3,21 ART,Alessandra Carusi,2º
,,Bebel,DSG1846,2,1AC,GEOMETRIA NO DESIGN,,,4,,,15-17,ART 3,21 ART,Alessandra Carusi,2º
,,Bebel,DSG1846,2,1AD,GEOMETRIA NO DESIGN,,,,5,,15-17,ART 3,21 ART,Alessandra Carusi,2º
,,João,DSG1847,4,1AA,DESENHO DE CONCEPÇÃO,2,,4,,,13-15,L 658,28 ART,Mateu Velasco,2º
,,João,DSG1847,4,1AB,DESENHO DE CONCEPÇÃO,2,,4,,,13-15,ART 1,28 ART,Nathalia Cavalcante,2º
,,João,DSG1847,4,1AC,DESENHO DE CONCEPÇÃO,2,,4,,,13-15,ART 2,28 ART,Guto Lins,2º
,,Bebel,DSG1848,3,1AA,PLÁSTICA,2,,,,,15-18,L 232,28 ART,Gabriela Gusmão,2º
,,Bebel,DSG1848,3,1AB,PLÁSTICA,2,,,,,15-18,L 260,28 ART,Carlos André,2º
,,Bebel,DSG1848,3,1AC,PLÁSTICA,2,,,,,15-18,ART 5,28 ART,Mateu Velasco,2º
,,Bebel,DSG1848,3,1AD,PLÁSTICA,,,4,,,11-14,K 017,20 ART,Carlos Eduardo Felix,2º
,,Bebel,DSG1849,4,1AA,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,L 532,20 ART ,Denise Portinari 2 Palestra 2 ,3º
,,Bebel,DSG1849,4,1AB,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,ART 4,20 ART ,Nathalia Cavalcante 2 Palestra  2  ,3º
,,Bebel,DSG1849,4,1AC,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,L 658,20 ART ,Luiza Marcier 2 Dani Lima 1 Palestra 1,3º
,,Bebel,DSG1850,2,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,13-15,ART 3,24 ART,Maria Julia ,3º
,,Bebel,DSG1850,2,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,17-19,L 260,24 ART,Simone Formiga ,3º
,,Bebel,DSG1850,2,1AC,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,13-15,ART 2 ,24 ART,Priscila Andrade,3º
,,Bebel,DSG1851,2,1AA,GEOMETRIA DESCRITIVA,,,,,6,13-15,ART 1,20 ART,Alessandra Carusi,3º
,,Bebel,DSG1851,2,1AB,GEOMETRIA DESCRITIVA,,3,,,,17-19,L 422,20 ART,Leonidas Moraes,3º
,,Bebel,DSG1851,2,1AC,GEOMETRIA DESCRITIVA,,,,5,,17-19,ART 3,20 ART,Alessandra Carusi,3º
,,Bebel,DSG1851,2,1AD,GEOMETRIA DESCRITIVA,,,,5,,17-19,L 532,20 ART,Leonidas Moraes,3º
,,Bebel,DSG1852,2,1AA,FUNDAMENTOS EM ERGODESIGN,,,,,6,11-13,VIRTUAL,33 ART,Claudia Vianna,4º
,,Bebel,DSG1852,2,1AB,FUNDAMENTOS EM ERGODESIGN,,,,,6,11-13,VIRTUAL,33 ART,Claudia Stamato ,4º 
,,Bebel,DSG1852,2,1AC,FUNDAMENTOS EM ERGODESIGN,,,,,6,09-11,VIRTUAL,33 ART,Isabela Mota ,4º 
,,Bebel,DSG1853,2,1AA,DESENHO TÉCNICO,2,,,,,13-15,L 260 verificar se é quadro de giz,22 ART,Celso Wilmer ,4º
,,Bebel,DSG1853,2,1AB,DESENHO TÉCNICO,2,,,,,13-15,L 422,22 ART,Leonidas Moraes,4º
,,Bebel,DSG1853,2,1AC,DESENHO TÉCNICO,,,4,,,13-15,ART 3,22 ART,Marco Antônio ,4º
,,Bebel,DSG1853,2,1AD,DESENHO TÉCNICO,,,4,,,13-15,L 260,22 ART,Alessandra Carusi ,4º
,,Bebel,DSG1854,4,1AA,LINGUAGEM E ESTRUTURAS,2,,4,,,08-10,ART 1,22 ART,Augusto Seibel 2 Rian Rezende  2,4º
,,Bebel,DSG1854,4,1AB,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,ART 2,22 ART,Barbara Cruz 2  Fábio Lopez 2,4º
,,Bebel,DSG1854,4,1AC,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,ART 3,22 ART,Fábio Lopez 2  Rian Rezende 2 ,4º
,,Bebel,DSG1854,4,1AD,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,ART 5,22 ART,Daniel Malaguti 2 Rian Rezende 2 rever Rian,4º
,,Bebel,DSG1855,3,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",,3,,,,10-13,ART 4,22 ART,Rian Rezende,5º
,,Bebel,DSG1855,3,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",,3,,,,10-13,ART 5,22 ART,Claudia Bolshaw,5º
,,Bebel,DSG1856,2,1AA,BIONICA,,,,5,,08-10,L 260,22 ART,Evelyn Grumach,5º
,,Bebel,DSG1856,2,1AB,BIONICA,,3,,,,08-10,ART 5,22 ART,João Victor,5º
,,Bebel,DSG1857,2,1AA,ERGODESIGN,,3,,,,09-11,L 120,17 ART,Claudia Stamato ,6º
,,Bebel,DSG1857,2,1AB,ERGODESIGN,,3,,,,07-09,ART 3,17 ART,Isabela Mota ,6º
,,Bebel,DSG1857,2,1AC,ERGODESIGN,,3,,,,11-13,L 232,17 ART,Claudia Vianna,6º
,,João,DSG1861,2,1AA,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17 ,ART 4,18 ART ,Gabriella Vaccari 2 Guilherme Xavier 0,3º
,,João,DSG1861,2,1AB,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17 ,ART 4,18 ART ,Guilherme Xavier 2 Gabriella Vaccari 0,3º
,,João,DSG1861,2,1AC,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17 ,ART 5,18 ART ,Gilberto Mendes 2 André Beltrão 0,3º
,,João,DSG1861,2,1AD,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17 ,ART 5,18 ART ,André Beltrão 2 Gilberto Mendas 0,3º
,,João,DSG1862,2,1AA,PRÁTICAS EXPERIMENTAIS II,,3,,,,11-13,LIFE,20 ART,João Bonelli,4º
,,João,DSG1862,2,1AB,PRÁTICAS EXPERIMENTAIS II,,,,5,,11-13,LIFE,20 ART  ,Guilherme Xavier,4º
,,João,DSG1862,2,1AC,PRÁTICAS EXPERIMENTAIS II,,,,5,,11-13,K 015,20 ART,Joy Till,4º
,,João,DSG1862,2,1AD,PRÁTICAS EXPERIMENTAIS II,,3,,,,11-13,K 015,20 ART,Flavio Carvalho ,4º
,,João,DSG1863,4,1AA,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,LIFE ,15 ART,João Bonelli,5º
,,João,DSG1863,4,1AB,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,K 015,15 ART,Luiz Ludwig,5º
,,João,DSG1863,4,1AC,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,LAIA,15 ART,Luiza Marcier,5º
,,João,DSG1864,4,1AA,PRÁTICAS EXPERIMENTAIS IV,,3,,5,,13-15,K 008,20 ART,Mario Seixas,3º/4º Optativas Práticas Experimentais
,,João,DSG1865,4,1AA,PRÁTICAS EXPERIMENTAIS V,,3,,5,,13-15,LAB MOD,20 ART,Luciana Barbosa,3º/4º Optativas Práticas Experimentais
,,João,DSG1866,2,1AA,PRÁTICAS EXPERIMENTAIS VI,,,,5,,07-09,K 015,20 ART,Helena Cavalcanti,4º Optativas Práticas Experimentais
,,João,DSG1867,2,1AA,PRÁTICAS EXPERIMENTAIS VII,,,,5,,09-11,LAB MOD,20 ART,Maria Eloisa,4º Optativas Práticas Experimentais
,,Eliane,DSG1900,4,1AA,PROJETO INTERDISCIPLINAR DE ÊNFASE,2,,,,,07-11,L 422,14 ART,Horista a contratar,7º
,,Eliane,DSG1900,4,1AB,PROJETO INTERDISCIPLINAR DE ÊNFASE,2,,,,,07-11,L 422,14 ART,Horista a contratar,
,,Felipe,DSG1901,2,1AA,ESTÁGIO ,,,,,6,07-09,L 422,30 ART ,Gilberto Mendes,7º
,,Felipe,DSG1901,2,1AB,ESTÁGIO ,,,,,6,09-11,IAG 3,30 ART ,Monica Saddi,7º
,,Felipe,DSG1901,2,1AC,ESTÁGIO ,2,,,,,11-13,S/sala pode ser cadeira de braço,30 ART ,Leonardo Cardarelli,7º
,,Eliane,DSG1902,2,1AA,DOCUMENTAÇÃO DE PROJETO PARA TCC EM DESIGN,,,,5,,09-11,VIRTUAL,27 ART,Izabel Oliveira  ,7º
,,Bebel,DSG1910,3,1AA,ANTEPROJETO FINAL COMUN/ARTE,,,4,,,08-11,VIRTUAL,27 ART,,7º
,,Bel,DSG1911,3,1AA,ANTEPROJETO FINAL CORPO E MODA,,,4,,,08-11,VIRTUAL,,,7º
,,Felipe,DSG1912,3,1AA,ANTEPROJETO FINAL ESTRA-GESTAO,,,4,,,08-11,VIRTUAL,,,7º
,,João,DSG1913,3,1AA,ANTEPROJETO FINAL EXP/DIGITAL,,,4,,,08-11,VIRTUAL,,,7º
,,Kayat,DSG1914,3,1AA,ANTEPROJETO FINAL PROD INOVACA,,,4,,,08-11,VIRTUAL,,,7º
,,Daniel,DSG1915,3,1AA,ANTEPROJETO FINAL SUSTENTABILI,,,4,,,08-11,VIRTUAL,,,7º
,,Bebel,DSG1920,8,1AA,PROJ FINAL COMUNICACAO E ARTE,,,4,,6,09-13,VIRTUAL/L 260,2 ART,Izabel Oliveira 4,8º
,,Bel,DSG1921,8,1AA,PROJ FINAL CORPO E MODA,,,4,,6,09-13,VIRTUAL/LAB MOD,2 ART,Isabel Martins 4,8º
,5 ênfases,Eliane,DSG1930,4,1AA,MATERIAIS SUSTENTÁVEIS E PROCESSOS CIRCULARES,,,,,6,09-13,ART 5,10 ART/10 QQC,Daniel Malaguti ,"Optativa de Ênfase EPI, ESA, ECM, EEG, EID"
,6 ênfases,Eliane,DSG1931,4,1AA,EMPREENDEDORISMO EM DESIGN,2,,,,,13-17,ART 3,25 ART ,Guilherme Toledo,"Optativa de Ênfase EPI, ESA, ECA, ECM, EEG, EID"
,5 ênfases,Eliane,DSG1932,4,1AA,"PROSPECÇÃO, ESCASSEZ E INCERTEZA",2,,4,,,09-11,S/sala,20 ART ,Carlos Eduardo Felix,"Optativa de Ênfase EPI, ESA, ECA, ECM, EEG"
,1 ênfase,Kayat,DSG1945,2,1AA,PROCESSOS DE MANUFATURA,,,,,6,07-09,K 008,20 ART,"Guilherme Lorenzoni 
 ",Optativa de Ênfase EPI
,1 ênfase,Bel,DSG1946,4,1AA,MODA E O CORPO CONTEMPORANEO,2,,4,,,13-15,LAB MOD,20 ART,Luiza Marcier 2 Walvyker 2 ,Optativa de Ênfase ECM
,1 ênfase,Bel,DSG1947,4,1AA,CONSTRUÇÕES TEXTEIS E O CORPO CULTURAL,,3,,5,,11-13,K017,20 ART,Isabel Martins,Optativa de Ênfase ECM
,1 ênfase,Bel,DSG1948,2,1AA,CARTOGRAFIAS ,,3,,,,13-15,K017,20 ART,Priscila Andrade ,Optativa de Ênfase ECM
,1 ênfase,Bel,DSG1949,2,1AA,OBJETO ROUPA,,,,5,,11-13,LAB MOD,20 ART,Maria Eloisa,Optativa de Ênfase ECM
,2 ênfases,Eliane,DSG1951,4,1AA,DESIGN ESPECULATIVO: CENÁRIOS FUTÚROS ,,3,,5,,13-15,ART 5/ VIRTUAL,20 ART,"Carlo Franzato - abriu 2023.1, Felipe perguntará se intercala com a Design Estratégico","Optativa de Ênfase EEG, EPI"
,2 ênfases,Eliane,DSG1952,4,1AA,DESIGN E NARRATIVA ,,,,,6,07-11,L658,20 ART ,Rian Rezende ,"Optativa de Ênfase ECA, EID"
,1 ênfase,João,DSG1953,2,1AA,CONECTIVIDADE E INTERATIVIDADE NAS ARTES E NO DESIGN,2,,,,,13-15,IAG 3,20 ART ,Luiz Ludwig ,Optativa de Ênfase EID
,,Felipe,DSG1956,2,1AA,UX/INTERACAO HUMANO-TECNOLOGIA,,,,,,09-11,VIRTUAL,20 ART ,Manuela Quaresma ,
,1 ênfase,João,DSG1957,2,1AA,DESIGN E INTELIGENCIA ARTIFICIAL,,,,5,,09-11,ART 3,15 ART/ 5 QQC,Marcelo Pereira ,Optativa de Ênfase EID
,1 ênfase,Bebel,DSG1958,4,1AA,MULTIMODALIDADE E MULTISENSORIALIDADE NAS ARTES E DESIGN,,3,,5,,13-15 ,ART 5/L 422,20 ART ,Julieta Sobral,Optativa de Ênfase ECA
,1 ênfase,João,DSG1966,3,1AA,REALIDADES DIGITAIS,,3,,,,13-16,LIFE,12 ART ,Jorge Lopes,Optativa de Ênfase EID
,2 ênfases,Eliane,DSG1972,2,1AA,LABORATÓRIO DO LÚDICO NOS PROCESSOS COMUNICACIONAIS,2,,,,,11-13,S/sala,20 QQC,Luis Vicente ,"Optativa de Oficina de Ênfase ECA,ESA"
,4 ênfases,Eliane,DSG1974,2,1AA,BIOMIMÉTICA ,,,,5,,11-13,ART 5,11 ART / 5 QQC ,João Victor,"Optativa de Oficina de Ênfase EPI, EID,EEG,ESA"
,1 ênfase,Kayat,DSG1975,2,1AA,LABORATÓRIO EXPLORAÇÃO EXPERIMENTAL PARA INOVAÇÃO,,,4,,,13-15,K 008,10 ART / 5 QQC,Claudio Magalhães ,Optativa de Oficina de Ênfase EPI
,1 ênfase,Kayat,DSG1977,2,1AA,DESIGN DE EMBALAGEM ,,3,,,,11-13,K 008,20 ART,Claudia Kayat ,Optativa de Oficina de Ênfase EPI
,1 ênfase,Kayat,DSG1978 ,2,1AA,MOBILIARIO,,,,5,,11-13,K008,20 ART ,Leonardo Lattavo (Arq),Optativa de Oficina de Ênfase EPI
,1 ênfase,Bel,DSG1985,2,1AA,ACESSÓRIO DE MODA E EXTENSÕES DO CORPO,2,,,,,08-10,LAB MOD ,20 ART ,Joana Pessoa,Optativa de Oficina de Ênfase ECM
,1 ênfase,Bel,DSG1986,4,1AA,CONSTRUÇÃO DO VESTUÁRIO AVANÇADA,,,4,,6,11-13,LAB MOD ,20 ART ,Walvyker Souza,Optativa de Oficina de Ênfase ECM
,,,DSG1987,2,1AA,PROTOTIPAGEM - DESIGN DE SERVIÇO,,,,,6,13-15,K 08,20 ART,Gabriella Vaccari,
,1 ênfase,João,DSG1988,2,1AA,PROTOTIPAGEM E SIMULAÇÃO DIGITAL,,,,5,,13-15,LIFE,18 ART ,Leonardo Cardarelli ,Optativa de Oficina de Ênfase EID
,1 ênfase,João,DSG1990,2,1AA,JOGOS DIGITAIS,,,,5,,08-11,LIFE,18 ART,Guilherme Xavier ,Optativa de Oficina de Ênfase EID
,1 ênfase,João,DSG1999,3,1AA,CRIAÇÃO E TRAT. DA IMAGEM,,,,5,,15-18,K 015 ,15 ART / 5 QQC,Lula Rocha ,Optativa de Desenho de Ênfase
,1 ênfase,João,DSG1999,3,1AB,CRIAÇÃO E TRAT. DA IMAGEM (em inglês),,,,,6,11-14,K 015 ,10 QQC /10 CCCI,Lula Rocha ,Optativa de Desenho de Ênfase
,,Eliane,EMP1200,2,8AA,EMPREENDEDORISMO,,,,5,,11-13,VIRTUAL,30 ART,SYLVIA T. MORAES,8º
,,Eliane,EMP1200,2,8AB,EMPREENDEDORISMO,,,4,,,07-09,VIRTUAL,30 ART,LUIS FELIPE CARVALHO,8º
,,Eliane,EMP1200,2,8AC,EMPREENDEDORISMO,2,,,,,09-11,VIRTUAL,30 ART,SYLVIA T. MORAES,8º
,,Eliane,FIL1815 ,4,1AA,ESTÉTICA,2,,4,,,07-09,IAG 3/L232,30 ART,Horista a contratar ,8º
,,Eliane,FIL1815 ,4,1AB,ESTÉTICA,,,4,,6,07-09,IAG 3,30 ART,Horista a contratar ,8º
,,Eliane,FIS1130,2,3AA,FÍSICA,,,,5,,09-11,L 358,26 ART ,Horista a contratar ,4º para DIG/ 5º para CV e PP/ 6º para MOD 
,,Eliane,INF1030,3,3AA,CONCEITOS DE INFORMÁTICA,,,,5,,08-11,VIRTUAL,16 DIG,Jan Krueger Siqueira,6º para DIG
,,Eliane,INF1030,3,3AB,CONCEITOS DE INFORMÁTICA,,,4,,,11-14,VIRTUAL,16 DIG,Claudia Ferlin,6º para DIG
,,Eliane,JUR1809,2,2AA,DIREITO DO AUTOR,,,,,6,09-11,VIRTUAL,30 ART,Horista a contratar ,"7º para DIG, CV e PP/ 8º para MOD"
,,Eliane,JUR1809,2,2AB,DIREITO DO AUTOR,2,,,,,09-11,VIRTUAL,30 ART,Horista a contratar ,"7º para DIG, CV e PP/ 8º para MOD"
,,Eliane,LET1910,4,1AA,ANALISE PRODUÇÃO TEXTO ACADÊMICO,2,,4,,,15-17,ART 1,20 CAL / 2 QQC,Horista a contratar ,1º
,,Eliane,LET1910,4,1AB,ANALISE PRODUÇÃO TEXTO ACADÊMICO,2,,4,,,17-19,ART 2 ,20 CAL / 2 QQC,Horista a contratar ,1º
,,Eliane,LET1910,4,1AC,ANALISE PRODUÇÃO TEXTO ACADÊMICO,2,,4,,,17-19,ART 1,20 CAL / 2 QQC,Horista a contratar ,1º
,,Eliane,LET1910,4,1AD,ANALISE PRODUÇÃO TEXTO ACADÊMICO,2,,4,,,15-17,ART 2 ,27 ART,Horista a contratar ,1º